2025-09-13 01:54:23.269 | INFO | ==================== 日志系统初始化 ====================
2025-09-13 01:54:30.338 | INFO | 配置已保存到 exploration_config.json
2025-09-13 01:54:30.568 | INFO | 模板目录: templates\exploration\res
2025-09-13 01:54:30.568 | INFO | 模板目录存在: True
2025-09-13 01:54:30.568 | DEBUG | 检查模板文件: templates\exploration\res\res_e_exploration_open.png
2025-09-13 01:54:30.568 | DEBUG | 文件存在，尝试加载: templates\exploration\res\res_e_exploration_open.png
2025-09-13 01:54:30.578 | INFO | 成功加载模板: entrance
2025-09-13 01:54:30.578 | DEBUG | 检查模板文件: templates\exploration\res\res_exploration_title.png
2025-09-13 01:54:30.578 | DEBUG | 文件存在，尝试加载: templates\exploration\res\res_exploration_title.png
2025-09-13 01:54:30.579 | INFO | 成功加载模板: main
2025-09-13 01:54:30.579 | DEBUG | 检查模板文件: templates\exploration\res\res_e_settings_button.png
2025-09-13 01:54:30.579 | DEBUG | 文件存在，尝试加载: templates\exploration\res\res_e_settings_button.png
2025-09-13 01:54:30.579 | INFO | 成功加载模板: settings_button
2025-09-13 01:54:30.579 | DEBUG | 检查模板文件: templates\exploration\res\res_e_exploration_click.png
2025-09-13 01:54:30.579 | DEBUG | 文件存在，尝试加载: templates\exploration\res\res_e_exploration_click.png
2025-09-13 01:54:30.579 | INFO | 成功加载模板: exploration_click
2025-09-13 01:54:30.579 | DEBUG | 检查模板文件: templates\exploration\res\res_e_open_settings.png
2025-09-13 01:54:30.579 | DEBUG | 文件存在，尝试加载: templates\exploration\res\res_e_open_settings.png
2025-09-13 01:54:30.580 | INFO | 成功加载模板: open_settings
2025-09-13 01:54:30.580 | DEBUG | 检查模板文件: templates\exploration\res\res_normal_battle_button.png
2025-09-13 01:54:30.580 | DEBUG | 文件存在，尝试加载: templates\exploration\res\res_normal_battle_button.png
2025-09-13 01:54:30.580 | INFO | 成功加载模板: normal_monster
2025-09-13 01:54:30.580 | DEBUG | 检查模板文件: templates\exploration\res\res_boss_battle_button.png
2025-09-13 01:54:30.580 | DEBUG | 文件存在，尝试加载: templates\exploration\res\res_boss_battle_button.png
2025-09-13 01:54:30.581 | INFO | 成功加载模板: boss_monster
2025-09-13 01:54:30.581 | DEBUG | 检查模板文件: templates\exploration\res\res_battle_start.png
2025-09-13 01:54:30.581 | DEBUG | 文件存在，尝试加载: templates\exploration\res\res_battle_start.png
2025-09-13 01:54:30.581 | INFO | 成功加载模板: battle_start
2025-09-13 01:54:30.581 | DEBUG | 检查模板文件: templates\exploration\res\res_treasure_box_click.png
