2025-09-13 01:44:26.751 | INFO | ==================== 日志系统初始化 ====================
2025-09-13 01:44:37.490 | INFO | 配置已保存到 exploration_config.json
2025-09-13 01:44:37.687 | INFO | 模板目录: templates\exploration\res
2025-09-13 01:44:37.687 | INFO | 模板目录存在: True
2025-09-13 01:44:37.687 | DEBUG | 检查模板文件: templates\exploration\res\res_e_exploration_open.png
2025-09-13 01:44:37.687 | DEBUG | 文件存在，尝试加载: templates\exploration\res\res_e_exploration_open.png
2025-09-13 01:44:37.688 | INFO | 成功加载模板: entrance
2025-09-13 01:44:37.688 | DEBUG | 检查模板文件: templates\exploration\res\res_exploration_title.png
2025-09-13 01:44:37.688 | DEBUG | 文件存在，尝试加载: templates\exploration\res\res_exploration_title.png
2025-09-13 01:44:37.688 | INFO | 成功加载模板: main
2025-09-13 01:44:37.688 | DEBUG | 检查模板文件: templates\exploration\res\res_e_settings_button.png
2025-09-13 01:44:37.688 | DEBUG | 文件存在，尝试加载: templates\exploration\res\res_e_settings_button.png
2025-09-13 01:44:37.688 | INFO | 成功加载模板: settings_button
2025-09-13 01:44:37.688 | DEBUG | 检查模板文件: templates\exploration\res\res_e_exploration_click.png
2025-09-13 01:44:37.689 | DEBUG | 文件存在，尝试加载: templates\exploration\res\res_e_exploration_click.png
2025-09-13 01:44:37.689 | INFO | 成功加载模板: exploration_click
2025-09-13 01:44:37.689 | DEBUG | 检查模板文件: templates\exploration\res\res_e_open_settings.png
2025-09-13 01:44:37.689 | DEBUG | 文件存在，尝试加载: templates\exploration\res\res_e_open_settings.png
2025-09-13 01:44:37.689 | INFO | 成功加载模板: open_settings
2025-09-13 01:44:37.689 | DEBUG | 检查模板文件: templates\exploration\res\res_normal_battle_button.png
2025-09-13 01:44:37.689 | DEBUG | 文件存在，尝试加载: templates\exploration\res\res_normal_battle_button.png
2025-09-13 01:44:37.689 | INFO | 成功加载模板: normal_monster
2025-09-13 01:44:37.689 | DEBUG | 检查模板文件: templates\exploration\res\res_boss_battle_button.png
2025-09-13 01:44:37.689 | DEBUG | 文件存在，尝试加载: templates\exploration\res\res_boss_battle_button.png
2025-09-13 01:44:37.689 | INFO | 成功加载模板: boss_monster
2025-09-13 01:44:37.690 | DEBUG | 检查模板文件: templates\exploration\res\res_battle_start.png
2025-09-13 01:44:37.690 | DEBUG | 文件存在，尝试加载: templates\exploration\res\res_battle_start.png
2025-09-13 01:44:37.690 | INFO | 成功加载模板: battle_start
2025-09-13 01:44:37.690 | DEBUG | 检查模板文件: templates\exploration\res\res_treasure_box_click.png
2025-09-13 01:44:37.690 | DEBUG | 文件存在，尝试加载: templates\exploration\res\res_treasure_box_click.png
2025-09-13 01:44:37.690 | INFO | 成功加载模板: treasure_box
2025-09-13 01:44:37.690 | DEBUG | 检查模板文件: templates\exploration\res\res_get_reward.png
2025-09-13 01:44:37.690 | DEBUG | 文件存在，尝试加载: templates\exploration\res\res_get_reward.png
2025-09-13 01:44:37.690 | INFO | 成功加载模板: get_reward
2025-09-13 01:44:37.690 | DEBUG | 检查模板文件: templates\exploration\res\res_battle_reward.png
2025-09-13 01:44:37.690 | DEBUG | 文件存在，尝试加载: templates\exploration\res\res_battle_reward.png
2025-09-13 01:44:37.691 | INFO | 成功加载模板: battle_reward
2025-09-13 01:44:37.691 | DEBUG | 检查模板文件: templates\exploration\res\res_e_auto_rotate_on.png
2025-09-13 01:44:37.691 | DEBUG | 文件存在，尝试加载: templates\exploration\res\res_e_auto_rotate_on.png
2025-09-13 01:44:37.691 | INFO | 成功加载模板: auto_rotate_on
2025-09-13 01:44:37.691 | DEBUG | 检查模板文件: templates\exploration\res\res_e_auto_rotate_off.png
2025-09-13 01:44:37.691 | DEBUG | 文件存在，尝试加载: templates\exploration\res\res_e_auto_rotate_off.png
2025-09-13 01:44:37.691 | INFO | 成功加载模板: auto_rotate_off
2025-09-13 01:44:37.692 | DEBUG | 检查模板文件: templates\exploration\res\res_e_enter_choose_rarity.png
2025-09-13 01:44:37.692 | DEBUG | 文件存在，尝试加载: templates\exploration\res\res_e_enter_choose_rarity.png
2025-09-13 01:44:37.692 | INFO | 成功加载模板: enter_choose_rarity
2025-09-13 01:44:37.692 | DEBUG | 检查模板文件: templates\exploration\res\res_e_n_rarity.png
2025-09-13 01:44:37.692 | DEBUG | 文件存在，尝试加载: templates\exploration\res\res_e_n_rarity.png
2025-09-13 01:44:37.692 | INFO | 成功加载模板: n_rarity
2025-09-13 01:44:37.692 | DEBUG | 检查模板文件: templates\exploration\res\res_e_s_rarity.png
2025-09-13 01:44:37.692 | DEBUG | 文件存在，尝试加载: templates\exploration\res\res_e_s_rarity.png
2025-09-13 01:44:37.693 | INFO | 成功加载模板: s_rarity
2025-09-13 01:44:37.693 | DEBUG | 检查模板文件: templates\exploration\res\res_e_ratate_exsit.png
2025-09-13 01:44:37.693 | DEBUG | 文件存在，尝试加载: templates\exploration\res\res_e_ratate_exsit.png
2025-09-13 01:44:37.693 | INFO | 成功加载模板: rotate_exist
2025-09-13 01:44:37.694 | DEBUG | 检查模板文件: templates\exploration\res\res_e_sure_button.png
2025-09-13 01:44:37.694 | DEBUG | 文件存在，尝试加载: templates\exploration\res\res_e_sure_button.png
2025-09-13 01:44:37.694 | INFO | 成功加载模板: sure_button
2025-09-13 01:44:37.694 | DEBUG | 检查模板文件: templates\exploration\res\res_team_emoji.png
2025-09-13 01:44:37.694 | DEBUG | 文件存在，尝试加载: templates\exploration\res\res_team_emoji.png
2025-09-13 01:44:37.694 | INFO | 成功加载模板: team_emoji
2025-09-13 01:44:37.694 | DEBUG | 检查模板文件: templates\exploration\res\res_exp_create_team.png
2025-09-13 01:44:37.694 | DEBUG | 文件存在，尝试加载: templates\exploration\res\res_exp_create_team.png
2025-09-13 01:44:37.695 | INFO | 成功加载模板: create_team
2025-09-13 01:44:37.695 | DEBUG | 检查模板文件: templates\exploration\res\res_exp_create_ensure.png
2025-09-13 01:44:37.695 | DEBUG | 文件存在，尝试加载: templates\exploration\res\res_exp_create_ensure.png
2025-09-13 01:44:37.695 | INFO | 成功加载模板: create_ensure
2025-09-13 01:44:37.695 | DEBUG | 检查模板文件: templates\exploration\res\res_swipe_end.png
2025-09-13 01:44:37.695 | DEBUG | 文件存在，尝试加载: templates\exploration\res\res_swipe_end.png
2025-09-13 01:44:37.696 | INFO | 成功加载模板: swipe_end
2025-09-13 01:44:37.696 | DEBUG | 检查模板文件: templates\exploration\res\res_e_exit_confirm.png
2025-09-13 01:44:37.696 | DEBUG | 文件存在，尝试加载: templates\exploration\res\res_e_exit_confirm.png
2025-09-13 01:44:37.696 | INFO | 成功加载模板: exit_confirm
2025-09-13 01:44:37.696 | DEBUG | 检查模板文件: templates\exploration\res\res_red_close.png
2025-09-13 01:44:37.696 | DEBUG | 文件存在，尝试加载: templates\exploration\res\res_red_close.png
2025-09-13 01:44:37.697 | INFO | 成功加载模板: red_close
2025-09-13 01:44:38.649 | INFO | 启动探索任务
2025-09-13 01:44:38.650 | INFO | 
2025-09-13 01:44:38.650 | INFO | >>> 开始任务: 探索任务 <<<
